Country,Region/State,"Zip/PostAN Code","Weight (and above)","Shipping Price"
BE,*,*,2.5,46.80769231
BE,*,*,2.6,48.58461538
BE,*,*,2.7,50.36153846
BE,*,*,2.8,52.13846154
BE,*,*,2.9,53.91538462
BE,*,*,3,55.69230769
BE,*,*,3.1,57.46923077
BE,*,*,3.2,59.24615385
BE,*,*,3.3,61.02307692
BE,*,*,3.4,62.8
BE,*,*,3.5,64.57692308
BE,*,*,3.6,66.35384615
BE,*,*,3.7,68.13076923
BE,*,*,3.8,69.90769231
BE,*,*,3.9,71.68461538
BE,*,*,4,73.46153846
DK,*,*,0.1,4.161538462
DK,*,*,0.2,5.938461538
DK,*,*,0.4,9.492307692
DK,*,*,0.5,11.26923077
DK,*,*,0.6,13.04615385
DK,*,*,0.8,16.6
DK,*,*,0.9,18.37692308
DK,*,*,1,20.15384615
DK,*,*,1.1,21.93076923
DK,*,*,1.2,23.70769231
DK,*,*,1.3,25.48461538
DK,*,*,1.4,27.26153846
DK,*,*,1.5,29.03846154
DK,*,*,1.6,30.81538462
DK,*,*,1.7,32.59230769
DK,*,*,1.8,34.36923077
DK,*,*,1.9,36.14615385
DK,*,*,2,37.92307692
DK,*,*,2.1,39.7
DK,*,*,2.2,41.47692308
DK,*,*,2.3,43.25384615
DK,*,*,2.4,45.03076923
DK,*,*,2.5,46.80769231
DK,*,*,2.6,48.58461538
DK,*,*,2.7,50.36153846
DK,*,*,2.8,52.13846154
DK,*,*,2.9,53.91538462
DK,*,*,3,55.69230769
DK,*,*,3.1,57.46923077
DK,*,*,3.2,59.24615385
DK,*,*,3.3,61.02307692
DK,*,*,3.4,62.8
DK,*,*,3.5,64.57692308
DK,*,*,3.6,66.35384615
DK,*,*,3.7,68.13076923
DK,*,*,3.8,69.90769231
DK,*,*,3.9,71.68461538
DK,*,*,4,73.46153846
FI,*,*,0.1,4.161538462
FI,*,*,0.2,5.938461538
FI,*,*,0.4,9.492307692
FI,*,*,0.5,11.26923077
FI,*,*,0.6,13.04615385
FI,*,*,0.8,16.6
FI,*,*,0.9,18.37692308
FI,*,*,1,20.15384615
FI,*,*,1.1,21.93076923
FI,*,*,1.2,23.70769231
FI,*,*,1.3,25.48461538
FI,*,*,1.4,27.26153846
FI,*,*,1.5,29.03846154
FI,*,*,1.6,30.81538462
FI,*,*,1.7,32.59230769
FI,*,*,1.8,34.36923077
FI,*,*,1.9,36.14615385
FI,*,*,2,37.92307692
FI,*,*,2.1,39.7
FI,*,*,2.2,41.47692308
FI,*,*,2.3,43.25384615
FI,*,*,2.4,45.03076923
FI,*,*,2.5,46.80769231
FI,*,*,2.6,48.58461538
FI,*,*,2.7,50.36153846
FI,*,*,2.8,52.13846154
FI,*,*,2.9,53.91538462
FI,*,*,3,55.69230769
FI,*,*,3.1,57.46923077
FI,*,*,3.2,59.24615385
FI,*,*,3.3,61.02307692
FI,*,*,3.4,62.8
FI,*,*,3.5,64.57692308
FI,*,*,3.6,66.35384615
FI,*,*,3.7,68.13076923
FI,*,*,3.8,69.90769231
FI,*,*,3.9,71.68461538
FI,*,*,4,73.46153846
FR,*,*,0.1,4.161538462
FR,*,*,0.2,5.938461538
FR,*,*,0.4,9.492307692
FR,*,*,0.5,11.26923077
FR,*,*,0.6,13.04615385
FR,*,*,0.8,16.6
FR,*,*,0.9,18.37692308
FR,*,*,1,20.15384615
FR,*,*,1.1,21.93076923
FR,*,*,1.2,23.70769231
FR,*,*,1.3,25.48461538
FR,*,*,1.4,27.26153846
FR,*,*,1.5,29.03846154
