Country,Region/State,Zip/PostAN Code,Weight (and above),shipping fee price
AL,*,*,4.6,153.2538462
AL,*,*,4.7,156.5076923
AL,*,*,4.8,159.7615385
AL,*,*,4.9,163.0153847
AL,*,*,5,166.2692307
AN,*,*,0.1,6.830769231
AN,*,*,0.2,10.08461538
AN,*,*,0.3,13.33846154
AN,*,*,0.4,16.59230769
AN,*,*,0.5,19.84615385
AN,*,*,0.6,23.1
AN,*,*,0.7,26.35384616
AN,*,*,0.8,29.60769231
AN,*,*,0.9,32.86153847
AN,*,*,1,36.11538462
AN,*,*,1.1,39.36923078
AN,*,*,1.2,42.62307693
AN,*,*,1.3,45.87692307
AN,*,*,1.4,49.13076923
AN,*,*,1.5,52.38461538
AN,*,*,1.6,55.63846154
AN,*,*,1.7,58.89230769
AN,*,*,1.8,62.14615385
AN,*,*,1.9,65.4
AN,*,*,2,68.65384616
AN,*,*,2.1,71.90769231
AN,*,*,2.2,75.16153847
AN,*,*,2.3,78.41538462
AN,*,*,2.4,81.66923078
AN,*,*,2.5,84.92307693
AN,*,*,2.6,88.17692307
AN,*,*,2.7,91.43076923
AN,*,*,2.8,94.68461538
AN,*,*,2.9,97.93846154
AN,*,*,3,101.1923077
AN,*,*,3.1,104.4461538
AN,*,*,3.2,107.7
AN,*,*,3.3,110.9538462
AN,*,*,3.4,114.2076923
AN,*,*,3.5,117.4615385
AN,*,*,3.6,120.7153846
AN,*,*,3.7,123.9692308
AN,*,*,3.8,127.2230769
AN,*,*,3.9,130.4769231
AN,*,*,4,133.7307692
AN,*,*,4.1,136.9846154
AN,*,*,4.2,140.2384615
AN,*,*,4.3,143.4923077
AN,*,*,4.4,146.7461538
AN,*,*,4.5,150
AN,*,*,4.6,153.2538462
AN,*,*,4.7,156.5076923
AN,*,*,4.8,159.7615385
AN,*,*,4.9,163.0153847
AN,*,*,5,166.2692307
AO,*,*,0.1,6.830769231
AO,*,*,0.2,10.08461538
AO,*,*,0.3,13.33846154
AO,*,*,0.4,16.59230769
AO,*,*,0.5,19.84615385
AO,*,*,0.6,23.1
AO,*,*,0.7,26.35384616
AO,*,*,0.8,29.60769231
AO,*,*,0.9,32.86153847
AO,*,*,1,36.11538462
AO,*,*,1.1,39.36923078
AO,*,*,1.2,42.62307693
AO,*,*,1.3,45.87692307
AO,*,*,1.4,49.13076923
AO,*,*,1.5,52.38461538
AO,*,*,1.6,55.63846154
AO,*,*,1.7,58.89230769
AO,*,*,1.8,62.14615385
AO,*,*,1.9,65.4
AO,*,*,2,68.65384616
AO,*,*,2.1,71.90769231
AO,*,*,2.2,75.16153847
AO,*,*,2.3,78.41538462
AO,*,*,2.4,81.66923078
AO,*,*,2.5,84.92307693
AO,*,*,2.6,88.17692307
AO,*,*,2.7,91.43076923
AO,*,*,2.8,94.68461538
AO,*,*,2.9,97.93846154
AO,*,*,3,101.1923077
AO,*,*,3.1,104.4461538
AO,*,*,3.2,107.7
AO,*,*,3.3,110.9538462
AO,*,*,3.4,114.2076923
AO,*,*,3.5,117.4615385
AO,*,*,3.6,120.7153846
AO,*,*,3.7,123.9692308
AO,*,*,3.8,127.2230769
AO,*,*,3.9,130.4769231
AO,*,*,4,133.7307692
AO,*,*,4.1,136.9846154
AO,*,*,4.2,140.2384615
AO,*,*,4.3,143.4923077
AO,*,*,4.4,146.7461538
AO,*,*,4.5,150
AO,*,*,4.6,153.2538462
AO,*,*,4.7,156.5076923
AO,*,*,4.8,159.7615385
AO,*,*,4.9,163.0153847
AO,*,*,5,166.2692307
AR,*,*,0.1,6.830769231
AR,*,*,0.2,10.08461538
AR,*,*,0.3,13.33846154
AR,*,*,0.4,16.59230769
AR,*,*,0.5,19.84615385
AR,*,*,0.6,23.1
AR,*,*,0.7,26.35384616
AR,*,*,0.8,29.60769231
AR,*,*,0.9,32.86153847
AR,*,*,1,36.11538462
AR,*,*,1.1,39.36923078
AR,*,*,1.2,42.62307693
AR,*,*,1.3,45.87692307
AR,*,*,1.4,49.13076923
AR,*,*,1.5,52.38461538
AR,*,*,1.6,55.63846154
AR,*,*,1.7,58.89230769
AR,*,*,1.8,62.14615385
AR,*,*,1.9,65.4
AR,*,*,2,68.65384616
AR,*,*,2.1,71.90769231
AR,*,*,2.2,75.16153847
AR,*,*,2.3,78.41538462
AR,*,*,2.4,81.66923078
AR,*,*,2.5,84.92307693
AR,*,*,2.6,88.17692307
AR,*,*,2.7,91.43076923
AR,*,*,2.8,94.68461538
AR,*,*,2.9,97.93846154
AR,*,*,3,101.1923077
AR,*,*,3.1,104.4461538
AR,*,*,3.2,107.7
AR,*,*,3.3,110.9538462
AR,*,*,3.4,114.2076923
AR,*,*,3.5,117.4615385
AR,*,*,3.6,120.7153846
AR,*,*,3.7,123.9692308
AR,*,*,3.8,127.2230769
AR,*,*,3.9,130.4769231
AR,*,*,4,133.7307692
AR,*,*,4.1,136.9846154
AR,*,*,4.2,140.2384615
AR,*,*,4.3,143.4923077
AR,*,*,4.4,146.7461538
AR,*,*,4.5,150
AR,*,*,4.6,153.2538462
AR,*,*,4.7,156.5076923
AR,*,*,4.8,159.7615385
AR,*,*,4.9,163.0153847
AR,*,*,5,166.2692307
BA,*,*,0.1,6.830769231
BA,*,*,0.2,10.08461538
BA,*,*,0.3,13.33846154
BA,*,*,0.4,16.59230769
BA,*,*,0.5,19.84615385
BA,*,*,0.6,23.1
BA,*,*,0.7,26.35384616
BA,*,*,0.8,29.60769231
BA,*,*,0.9,32.86153847
BA,*,*,1,36.11538462
BA,*,*,1.1,39.36923078
BA,*,*,1.2,42.62307693
BA,*,*,1.3,45.87692307
BA,*,*,1.4,49.13076923
BA,*,*,1.5,52.38461538
BA,*,*,1.6,55.63846154
BA,*,*,1.7,58.89230769
BA,*,*,1.8,62.14615385
BA,*,*,1.9,65.4
BA,*,*,2,68.65384616
BA,*,*,2.1,71.90769231
BA,*,*,2.2,75.16153847
BA,*,*,2.3,78.41538462
BA,*,*,2.4,81.66923078
BA,*,*,2.5,84.92307693
BA,*,*,2.6,88.17692307
BA,*,*,2.7,91.43076923
BA,*,*,2.8,94.68461538
BA,*,*,2.9,97.93846154
BA,*,*,3,101.1923077
BA,*,*,3.1,104.4461538
BA,*,*,3.2,107.7
BA,*,*,3.3,110.9538462
BA,*,*,3.4,114.2076923
BA,*,*,3.5,117.4615385
BA,*,*,3.6,120.7153846
BA,*,*,3.7,123.9692308
BA,*,*,3.8,127.2230769
BA,*,*,3.9,130.4769231
BA,*,*,4,133.7307692
BA,*,*,4.1,136.9846154
BA,*,*,4.2,140.2384615
BA,*,*,4.3,143.4923077
BA,*,*,4.4,146.7461538
BA,*,*,4.5,150
BA,*,*,4.6,153.2538462
BA,*,*,4.7,156.5076923
BA,*,*,4.8,159.7615385
BA,*,*,4.9,163.0153847
BA,*,*,5,166.2692307
BF,*,*,0.1,6.830769231
BF,*,*,0.2,10.08461538
BF,*,*,0.3,13.33846154
BF,*,*,0.4,16.59230769
BF,*,*,0.5,19.84615385
BF,*,*,0.6,23.1
BF,*,*,0.7,26.35384616
BF,*,*,0.8,29.60769231
BF,*,*,0.9,32.86153847
BF,*,*,1,36.11538462
BF,*,*,1.1,39.36923078
BF,*,*,1.2,42.62307693
BF,*,*,1.3,45.87692307
BF,*,*,1.4,49.13076923
BF,*,*,1.5,52.38461538
BF,*,*,1.6,55.63846154
BF,*,*,1.7,58.89230769
BF,*,*,1.8,62.14615385
BF,*,*,1.9,65.4
BF,*,*,2,68.65384616
BF,*,*,2.1,71.90769231
BF,*,*,2.2,75.16153847
BF,*,*,2.3,78.41538462
BF,*,*,2.4,81.66923078
BF,*,*,2.5,84.92307693
BF,*,*,2.6,88.17692307
BF,*,*,2.7,91.43076923
BF,*,*,2.8,94.68461538
BF,*,*,2.9,97.93846154
BF,*,*,3,101.1923077
BF,*,*,3.1,104.4461538
BF,*,*,3.2,107.7
BF,*,*,3.3,110.9538462
BF,*,*,3.4,114.2076923
BF,*,*,3.5,117.4615385
BF,*,*,3.6,120.7153846
BF,*,*,3.7,123.9692308
BF,*,*,3.8,127.2230769
BF,*,*,3.9,130.4769231
BF,*,*,4,133.7307692
BF,*,*,4.1,136.9846154
BF,*,*,4.2,140.2384615
BF,*,*,4.3,143.4923077
BF,*,*,4.4,146.7461538
BF,*,*,4.5,150
BF,*,*,4.6,153.2538462
BF,*,*,4.7,156.5076923
BF,*,*,4.8,159.7615385
